DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Pct of cohort achieving APM,pct grad 
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,2007,138,123,33.30%,0.891304348
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,2006,267,180,17.20%,0.674157303
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,2007,248,170,14.10%,0.685483871
30Q555,NEWCOMERS HIGH SCHOOL,2006,214,142,17.80%,0.663551402
30Q555,NEWCOMERS HIGH SCHOOL,2007,247,173,25.90%,0.700404858
30Q575,ACADEMY OF AMERICAN STUDIES,2006,155,125,53.50%,0.806451613
30Q575,ACADEMY OF AMERICAN STUDIES,2007,155,131,45.20%,0.84516129
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,2006,72,71,77.80%,0.986111111
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,2007,64,63,81.30%,0.984375
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,2006,80,76,23.80%,0.95
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,2007,102,96,29.40%,0.941176471
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,2007,1,0,s,0
