DBN,SAT,REGENTS,CLUSTER,GRADE,GRADRATE
23K777,<NA>,<NA>,<NA>,<NA>,<NA>
24Q264,HIGH,HIGH,MED,A,HIGH
24Q267,HIGH,MED,LOW,A,MED
24Q293,HIGH,<NA>,<NA>,A,<NA>
24Q296,LOW,LOW,LOW,D,LOW
24Q299,HIGH,HIGH,HIGH,A,HIGH
24Q455,MED,MED,LOW,B,MED
24Q485,MED,MED,LOW,B,LOW
24Q520,MED,<NA>,<NA>,B,<NA>
24Q530,LOW,<NA>,<NA>,A,<NA>
24Q550,MED,MED,LOW,A,HIGH
24Q560,HIGH,MED,MED,C,HIGH
24Q560,HIGH,MED,MED,C,HIGH
24Q585,<NA>,<NA>,<NA>,,<NA>
24Q600,HIGH,HIGH,MED,B,HIGH
24Q610,HIGH,HIGH,MED,A,HIGH
24Q744,<NA>,<NA>,<NA>,A,LOW
25Q252,HIGH,<NA>,<NA>,C,<NA>
25Q252,HIGH,<NA>,<NA>,B,<NA>
25Q263,LOW,MED,LOW,B,MED
25Q281,HIGH,HIGH,MED,B,HIGH
25Q281,HIGH,HIGH,MED,B,HIGH
25Q425,HIGH,MED,LOW,C,MED
25Q460,HIGH,MED,LOW,D,MED
25Q525,HIGH,HIGH,HIGH,A,HIGH
25Q540,MED,LOW,LOW,B,LOW
25Q670,HIGH,HIGH,MED,B,MED
25Q792,MED,<NA>,<NA>,B,LOW
26Q415,HIGH,HIGH,MED,B,HIGH
26Q430,HIGH,HIGH,MED,A,HIGH
26Q435,MED,MED,LOW,C,MED
26Q566,HIGH,HIGH,MED,B,HIGH
27Q260,MED,LOW,LOW,C,MED
27Q262,HIGH,HIGH,MED,B,HIGH
27Q262,HIGH,HIGH,MED,A,HIGH
27Q302,MED,<NA>,<NA>,C,LOW
27Q308,HIGH,<NA>,<NA>,A,<NA>
27Q309,LOW,<NA>,<NA>,C,<NA>
27Q309,LOW,<NA>,<NA>,B,<NA>
27Q323,HIGH,HIGH,HIGH,A,HIGH
27Q323,HIGH,HIGH,HIGH,A,HIGH
27Q324,<NA>,<NA>,<NA>,,<NA>
27Q351,<NA>,<NA>,<NA>,,<NA>
27Q410,MED,LOW,LOW,,LOW
