DBN,SAT,Regents,Gradrate
28Q310,1265,NA,NA
28Q338,1178,NA,0.028846154
28Q350,1307,NA,NA
28Q440,1407,0.33,0.817916261
28Q470,1063,0.08,0.451871658
28Q505,1194,0.13,0.683920705
28Q620,1372,0.44,0.840836013
28Q680,1538,0.7,0.959183673
28Q687,1868,0.84,0.965517241
28Q690,1196,0.03,0.76744186
28Q896,1316,0.28,0.894736842
29Q248,1099,0.13,0.638297872
29Q259,1173,0.02,0.716666667
29Q265,1202,0.06,0.684210526
29Q272,1287,0.05,0.72972973
29Q283,1100,0.04,0.618181818
29Q492,1220,0.23,0.704
29Q494,1139,0.07,0.516666667
29Q496,1152,0.03,0.478991597
29Q498,1151,0.04,0.719626168
30Q301,1255,NA,NA
30Q445,1275,0.25,0.53342246
30Q450,1218,0.17,0.614921781
30Q501,1494,0.33,0.891304348
30Q502,1239,0.14,0.685483871
30Q555,1127,0.26,0.700404858
30Q575,1470,0.45,0.84516129
30Q580,1636,0.81,0.984375
31R047,1353,0.29,0.941176471
31R064,1195,NA,NA
31R080,1426,0.28,0.858267717
31R440,1277,0.17,0.723183391
31R445,1279,0.14,0.632107023
31R450,1301,0.14,0.687409551
31R455,1418,0.33,0.805776892
31R460,1388,0.31,0.792378449
31R470,1335,0,0.277108434
31R600,1235,0.13,0.601190476
31R605,1953,0.98,1
31R607,1150,NA,NA
32K403,1098,0.02,0.640776699
32K545,1154,0.11,0.579881657
32K549,1035,0.06,0.669902913
32K552,1060,0.08,0.577235772
32K554,1315,0.17,1
32K556,1055,0.04,0.47826087
32K564,1034,NA,0.040268456
75Q811,1306,NA,NA
79Q950,1322,NA,NA
79X490,1097,NA,NA
05M172,NA,NA,NA
08X192,NA,NA,NA
12X158,NA,NA,NA
12X680,NA,0.02,0.593220339
15K027,NA,NA,NA
18K415,NA,NA,NA
18K500,NA,0.04,0.383064516
23K271,NA,NA,NA
23K645,NA,0.03,0.630136986
27Q465,NA,0.01,0.549450549
